likelihood_to_apply,GPA,GRE_score,field_of_study
High,3.5834,142.1,Humanities
Low,2.8928,158.4,Humanities
High,2.9266,148.5,STEM
High,2.972,149.3,Social Sciences
Low,2.623,153.8,Business
Low,2.7629,150.7,Arts
Low,2.7348,155.4,STEM
Low,2.8124,151.0,Arts
Medium,3.0532,145.2,Social Sciences
Very High,3.1415,151.5,Business
Low,3.5739,141.7,Business
Low,2.7367,149.9,Business
High,3.3879,149.0,Arts
High,2.9943,147.8,Social Sciences
Medium,3.0483,148.3,Arts
Medium,3.2862,136.9,STEM
Medium,2.6958,145.6,Business
Medium,3.1902,149.8,Business
Low,3.1193,150.2,Business
High,3.2264,142.5,Social Sciences
Very High,3.1596,157.4,Arts
Very High,3.871,143.5,STEM
Very High,2.8551,155.5,STEM
High,2.8902,152.0,Business
Low,2.8599,145.0,Humanities
Very High,2.8821,160.8,Business
Low,2.8552,141.4,Social Sciences
High,3.4551,155.2,STEM
Very High,3.5312,155.7,Business
High,2.8771,144.8,Humanities
Very High,2.7912,158.3,STEM
High,3.2194,147.5,Business
Low,2.8832,151.1,Humanities
Medium,3.2725,150.9,Humanities
High,3.1312,148.3,Humanities
Medium,2.5668,154.5,Business
Very High,3.5729,154.4,Business
High,3.6545,137.8,Business
Very High,2.8633,157.7,STEM
Medium,2.9373,138.3,Business
Low,3.1585,155.9,Business
Very High,3.1745,156.5,Business
High,3.2809,142.1,Social Sciences
High,3.7248,146.5,Arts
Medium,3.0065,142.0,Business
Low,2.8024,147.8,STEM
High,2.6116,147.2,Social Sciences
Low,2.8245,154.3,Arts
Very High,3.0537,157.7,STEM
Very High,3.654,158.3,Arts
Medium,2.8946,145.5,Business
Medium,3.1381,147.8,Humanities
Low,3.0592,138.2,Social Sciences
High,3.4549,143.9,STEM
Very High,3.8945,155.5,Arts
Medium,2.8902,159.7,Social Sciences
Low,2.9039,141.1,Business
Very High,3.4076,145.3,Social Sciences
High,3.2886,149.0,STEM
Very High,3.6711,151.0,STEM
Medium,3.2564,143.9,Humanities
High,2.9466,151.9,Arts
Medium,3.2586,146.1,Social Sciences
Medium,3.4287,149.1,Social Sciences
Very High,3.3341,152.7,Social Sciences
High,3.2312,149.2,Humanities
Very High,3.4149,146.3,Social Sciences
High,3.4486,148.5,Arts
High,3.5186,148.6,Humanities
High,3.2777,146.8,Humanities
Very High,3.0097,147.5,STEM
Very High,3.1128,159.6,Arts
Very High,3.4609,152.8,STEM
Low,2.7963,147.2,STEM
Very High,3.1857,153.7,Business
Low,2.9354,147.0,Humanities
Very High,3.074,156.8,Social Sciences
High,3.4845,151.6,Social Sciences
Very High,3.1274,148.5,Business
Low,3.0798,152.1,STEM
Medium,2.6179,138.9,Business
High,3.3097,141.8,Humanities
Medium,3.2766,141.4,Social Sciences
Very High,3.7751,150.1,Humanities
Very High,2.9635,160.5,Social Sciences
Very High,3.1366,163.7,Business
Very High,3.1465,153.3,Humanities
Very High,3.5827,152.4,Social Sciences
Low,3.0333,137.4,Humanities
Medium,3.1562,145.6,Arts
Low,3.2643,144.0,Social Sciences
Low,3.1259,145.1,Arts
Low,2.918,148.1,Social Sciences
Medium,3.1283,146.1,STEM
High,3.4172,136.3,STEM
Low,2.7274,154.1,Social Sciences
Low,3.1083,142.2,STEM
Medium,2.8346,150.7,STEM
Very High,3.4571,162.7,Arts
Low,2.5643,143.2,Business
Low,2.881,132.7,Business
Very High,3.1885,147.3,STEM
Very High,3.5788,156.4,STEM
Very High,3.043,161.9,STEM
Medium,2.8822,141.2,Business
Very High,3.6825,152.4,Arts
Medium,2.589,146.1,Social Sciences
Low,2.3424,148.5,STEM
Very High,3.2091,166.4,Humanities
Low,2.8997,139.4,Social Sciences
Low,2.7292,150.8,Social Sciences
High,3.2973,152.2,Humanities
Very High,3.1447,156.3,Business
Medium,2.8793,149.8,STEM
High,2.6441,151.2,STEM
Very High,3.3512,146.6,Arts
Medium,3.2781,150.9,STEM
High,3.032,146.9,STEM
Very High,3.6711,153.2,STEM
Very High,2.7131,146.8,STEM
Very High,2.5635,151.6,Social Sciences
Medium,2.8373,149.0,Business
High,3.0496,156.5,Social Sciences
Very High,3.1445,148.8,Social Sciences
Low,2.9854,137.6,Business
Very High,3.1802,157.4,Humanities
Medium,2.6535,143.3,Arts
High,3.5388,144.9,Arts
Medium,3.0376,145.3,STEM
Very High,3.4316,158.1,Business
Medium,3.1772,135.2,Humanities
Very High,3.2146,169.6,Arts
Very High,3.2517,156.1,Humanities
Very High,3.2116,150.6,Arts
Very High,3.2757,148.8,Business
High,3.5012,151.0,STEM
Very High,3.1291,152.6,Humanities
Very High,3.2975,153.4,Arts
Medium,3.0351,152.8,Arts
Medium,3.5376,149.8,STEM
Low,2.8424,147.9,Business
Very High,3.6561,148.2,Social Sciences
High,3.0514,147.9,STEM
High,2.5947,156.6,Social Sciences
Medium,3.1067,153.0,STEM
Medium,2.8409,130.0,Business
Low,3.3407,153.5,Social Sciences
Medium,2.8502,150.4,Business
High,2.918,149.1,STEM
Low,2.444,146.6,Social Sciences
Very High,2.916,156.5,STEM
Low,2.2685,155.4,STEM
Medium,2.5444,144.1,STEM
High,3.3143,151.8,STEM
High,3.3227,142.8,Humanities
Low,3.2043,140.2,Social Sciences
Low,2.747,145.1,Social Sciences
Very High,3.0489,154.8,Social Sciences
Medium,3.0634,155.4,Arts
High,2.6841,152.5,Arts
Very High,3.5584,153.9,Humanities
High,3.3528,152.5,Social Sciences
Low,2.992,145.0,STEM
Very High,3.0734,152.0,Arts
Very High,3.133,154.4,STEM
High,2.394,154.1,Social Sciences
Very High,2.9834,156.9,Social Sciences
Very High,2.8406,153.8,Social Sciences
Low,2.7356,151.5,STEM
Very High,2.9723,156.2,Business
Very High,3.655,149.0,STEM
Medium,3.2751,143.4,Humanities
Low,2.877,148.1,STEM
Low,3.2527,144.3,STEM
